"user_birth_year","user_career","user_sex","location_city","location_region","location_country","date","provider_name","site_type","site_price","develop_time","marketing_spend"
1997,"Technician","Female","Pyin Oo Lwin","Mandalay Region","Myanmar","2025-03-05","AWS","Blog",72,47,1472
1997,"Technician","Female","Pyin Oo Lwin","Mandalay Region","Myanmar","2024-01-04","Azure","Personal",195,36,1492
1997,"Technician","Female","Pyin Oo Lwin","Mandalay Region","Myanmar","2024-01-14","AWS","Portfolio",153,17,1999
1977,"Strategist","Male","Saint David’s","Saint David Parish","Grenada","2023-12-23","AWS","Blog",138,100,875
1966,"Technician","Male","Sühbaatar","Selenge Province","Mongolia","2024-04-03","Azure","E-commerce",62,69,978
1984,"Associate","Male","Irtyshsk","Pavlodar Region","Kazakhstan","2024-04-05","AWS","E-commerce",187,43,200
1984,"Associate","Male","Irtyshsk","Pavlodar Region","Kazakhstan","2023-12-21","AWS","Portfolio",63,65,1065
1984,"Associate","Male","Irtyshsk","Pavlodar Region","Kazakhstan","2023-09-27","AWS","Personal",86,179,237
1969,"Strategist","Male","Bakan","Pursat","Cambodia","2025-02-27","GCP","E-commerce",158,5,855
1969,"Strategist","Male","Bakan","Pursat","Cambodia","2023-12-30","Azure","Personal",195,133,533
1961,"Agent","Female","Serekunda","Banjul","The Gambia","2024-03-19","GCP","Blog",146,24,1300
1961,"Agent","Female","Serekunda","Banjul","The Gambia","2025-01-31","AWS","Business",175,60,1665
1961,"Agent","Female","Serekunda","Banjul","The Gambia","2023-12-26","GCP","Business",134,9,296
1992,"Architect","Male","Bautista","Occidental Mindoro","Philippines","2023-08-25","Azure","Business",102,101,1325
1981,"Planner","Female","Ārt Khwājah","Takhar","Afghanistan","2024-06-23","GCP","E-commerce",26,96,846
2004,"Strategist","Female","Chindini","Grande Comore","Comoros","2024-04-07","AWS","Personal",187,161,560
2004,"Strategist","Female","Chindini","Grande Comore","Comoros","2025-04-06","Azure","Portfolio",149,113,1625
2004,"Strategist","Female","Chindini","Grande Comore","Comoros","2024-09-01","AWS","Personal",120,101,1841
2004,"Strategist","Female","Chindini","Grande Comore","Comoros","2024-02-03","Azure","Portfolio",193,24,1025
1965,"Planner","Female","Big Bend","Lubombo District","Swaziland","2023-10-08","AWS","E-commerce",153,17,1999
1965,"Planner","Female","Big Bend","Lubombo District","Swaziland","2023-07-07","AWS","Blog",125,129,1443
1965,"Planner","Female","Big Bend","Lubombo District","Swaziland","2024-04-22","GCP","Blog",168,144,1981
1979,"Consultant","Male","Qazax","Qazakh District","Azerbaijan","2024-08-04","Azure","E-commerce",151,143,442
1978,"Assistant","Female","Far`","Al Madinah","Saudi Arabia","2024-04-21","Azure","Business",102,101,1325
1978,"Assistant","Female","Far`","Al Madinah","Saudi Arabia","2025-03-08","AWS","Business",79,9,1449
1978,"Assistant","Female","Far`","Al Madinah","Saudi Arabia","2023-07-15","AWS","E-commerce",30,60,1536
1978,"Assistant","Female","Far`","Al Madinah","Saudi Arabia","2024-04-27","AWS","Blog",139,72,1014
1976,"Coordinator","Female","Panj","Khatlon Province","Tajikistan","2024-12-04","Azure","Blog",44,167,697
1962,"Planner","Female","Gbarnga","Bong County","Liberia","2024-04-23","AWS","Portfolio",18,157,663
1962,"Planner","Female","Gbarnga","Bong County","Liberia","2024-12-21","GCP","Blog",93,19,1175
1975,"Associate","Male","Buurhakaba","Bay","Somalia","2024-04-01","Azure","E-commerce",106,151,1731
1975,"Associate","Male","Buurhakaba","Bay","Somalia","2024-08-09","GCP","Personal",129,134,1208
1975,"Associate","Male","Buurhakaba","Bay","Somalia","2024-11-29","AWS","E-commerce",140,77,1035
2002,"Supervisor","Female","Navoiy","Navoiy Region","Uzbekistan","2024-07-12","Azure","Personal",25,64,1692
2002,"Supervisor","Female","Navoiy","Navoiy Region","Uzbekistan","2023-08-03","GCP","Blog",111,77,1017
2002,"Supervisor","Female","Navoiy","Navoiy Region","Uzbekistan","2024-02-10","Azure","E-commerce",103,158,627
1998,"Producer","Male","Potamiá","East Attica Regional Unit","Greece","2024-12-12","GCP","Personal",163,163,140
1998,"Producer","Male","Potamiá","East Attica Regional Unit","Greece","2024-12-16","Azure","Personal",83,87,402
1998,"Producer","Male","Potamiá","East Attica Regional Unit","Greece","2024-03-05","AWS","Business",135,22,927
1975,"Specialist","Male","Wangdue Phodrang","Dagana District","Bhutan","2023-09-12","Azure","Personal",185,110,796
1975,"Specialist","Male","Wangdue Phodrang","Dagana District","Bhutan","2025-01-17","AWS","Portfolio",81,44,1744
1964,"Executive","Female","Serekunda","Banjul","The Gambia","2024-03-05","Azure","Blog",196,64,138
1964,"Executive","Female","Serekunda","Banjul","The Gambia","2023-10-06","Azure","Personal",145,90,1077
1964,"Executive","Female","Serekunda","Banjul","The Gambia","2024-06-29","GCP","Portfolio",70,97,1310
1962,"Engineer","Female","Aileu","Aileu municipality","East Timor","2025-01-21","Azure","Business",187,79,912
1962,"Engineer","Female","Aileu","Aileu municipality","East Timor","2024-11-26","Azure","Business",34,54,1053
1962,"Engineer","Female","Aileu","Aileu municipality","East Timor","2023-06-30","GCP","Portfolio",34,10,1589
1996,"Executive","Male","Kochani","Kočani Municipality","Macedonia","2024-05-25","Azure","E-commerce",21,64,719
1986,"Architect","Female","Gouyave","Saint John Parish","Grenada","2023-11-09","AWS","Blog",99,108,1624
1986,"Architect","Female","Gouyave","Saint John Parish","Grenada","2024-11-10","Azure","Business",43,37,372
1986,"Architect","Female","Gouyave","Saint John Parish","Grenada","2023-07-19","GCP","Blog",126,13,1886
1986,"Architect","Female","Gouyave","Saint John Parish","Grenada","2024-09-10","AWS","E-commerce",56,119,365
2003,"Developer","Male","Benghazi","Benghazi","Libya","2023-07-23","GCP","Portfolio",179,123,248
2003,"Developer","Male","Benghazi","Benghazi","Libya","2024-04-01","GCP","E-commerce",111,77,1017
1995,"Officer","Female","Quebo","Tombali Region","Guinea-Bissau","2025-03-22","AWS","E-commerce",71,46,1912
1995,"Officer","Female","Quebo","Tombali Region","Guinea-Bissau","2024-08-03","Azure","Business",193,24,1025
1995,"Officer","Female","Quebo","Tombali Region","Guinea-Bissau","2023-12-29","AWS","Personal",185,110,796
1995,"Officer","Female","Quebo","Tombali Region","Guinea-Bissau","2024-07-17","Azure","Blog",70,97,1310
1987,"Agent","Female","Uatocarabau","Viqueque Municipality","East Timor","2025-03-11","AWS","Portfolio",70,84,1411
1987,"Agent","Female","Uatocarabau","Viqueque Municipality","East Timor","2023-06-19","AWS","Business",40,69,1671
1987,"Agent","Female","Uatocarabau","Viqueque Municipality","East Timor","2024-10-17","AWS","Business",191,167,1850
1974,"Associate","Male","Hillsborough","Carriacou and Petite Martinique","Grenada","2024-01-29","Azure","E-commerce",184,137,1679
1974,"Associate","Male","Hillsborough","Carriacou and Petite Martinique","Grenada","2025-01-09","Azure","Blog",60,150,768
1974,"Associate","Male","Hillsborough","Carriacou and Petite Martinique","Grenada","2024-03-02","GCP","Personal",25,64,1692
2000,"Analyst","Male","Dorra","Tadjourah Region","Djibouti","2025-01-07","AWS","Business",99,108,1624
2000,"Analyst","Male","Dorra","Tadjourah Region","Djibouti","2024-04-11","Azure","E-commerce",130,172,349
2000,"Analyst","Male","Dorra","Tadjourah Region","Djibouti","2023-10-08","Azure","Business",89,96,1822
1966,"Manager","Female","Nisab","Northern Borders","Saudi Arabia","2023-12-20","Azure","E-commerce",64,16,703
1966,"Manager","Female","Nisab","Northern Borders","Saudi Arabia","2023-10-27","Azure","Business",34,10,1589
1967,"Architect","Female","Saharna","Rezina District","Moldova","2023-05-22","Azure","Business",129,134,1208
1976,"Manager","Female","Rumonge","Rumonge Province","Burundi","2023-08-01","GCP","Blog",97,122,1823
1990,"Facilitator","Male","Sangre Grande","Sangre Grande Regional Corporation","Trinidad And Tobago","2025-03-04","Azure","Personal",156,13,1071
1990,"Facilitator","Male","Sangre Grande","Sangre Grande Regional Corporation","Trinidad And Tobago","2023-06-04","Azure","Business",35,28,1833
2000,"Director","Female","Bolderaja","Riga","Latvia","2024-07-10","AWS","Business",193,107,1310
2000,"Director","Female","Bolderaja","Riga","Latvia","2024-03-09","GCP","Blog",31,37,481
1985,"Director","Male","Victoria","Cabañas Department","El Salvador","2025-04-13","AWS","Business",35,28,1833
1985,"Director","Male","Victoria","Cabañas Department","El Salvador","2023-12-10","Azure","Personal",149,113,1625
1985,"Director","Male","Victoria","Cabañas Department","El Salvador","2023-04-29","GCP","Portfolio",77,117,1938
1985,"Director","Male","Victoria","Cabañas Department","El Salvador","2024-11-25","AWS","Blog",149,114,847
1993,"Planner","Male","Sevlievo","Gabrovo Province","Bulgaria","2024-08-21","GCP","Business",62,120,476
1993,"Planner","Male","Sevlievo","Gabrovo Province","Bulgaria","2023-12-07","Azure","E-commerce",186,175,826
1961,"Planner","Female","Šeduva","Šiauliai City Municipality","Lithuania","2025-01-26","GCP","Personal",134,9,296
1961,"Planner","Female","Šeduva","Šiauliai City Municipality","Lithuania","2023-10-03","AWS","Portfolio",149,140,329
1999,"Agent","Male","Musanze","Northern Province","Rwanda","2024-05-18","GCP","Business",65,74,1612
1999,"Agent","Male","Musanze","Northern Province","Rwanda","2023-07-25","AWS","E-commerce",120,117,261
1999,"Agent","Male","Musanze","Northern Province","Rwanda","2024-11-12","AWS","Business",135,22,927
2002,"Supervisor","Female","Sotouboua","Centrale Region","Togo","2024-03-14","AWS","Personal",55,9,1582
2002,"Supervisor","Female","Sotouboua","Centrale Region","Togo","2023-08-08","Azure","E-commerce",80,22,137
2005,"Executive","Male","Poggio di Chiesanuova","Chiesanuova","San Marino","2023-10-15","Azure","Personal",56,119,365
2005,"Executive","Male","Poggio di Chiesanuova","Chiesanuova","San Marino","2023-05-28","GCP","Portfolio",64,152,1579
2005,"Executive","Male","Poggio di Chiesanuova","Chiesanuova","San Marino","2024-07-09","GCP","Blog",42,17,1629
2005,"Executive","Male","Poggio di Chiesanuova","Chiesanuova","San Marino","2023-07-18","AWS","Personal",24,108,1736
1969,"Planner","Male","Bartica","Cuyuni-Mazaruni","Guyana","2024-11-11","AWS","Portfolio",111,77,1017
1969,"Planner","Male","Bartica","Cuyuni-Mazaruni","Guyana","2024-12-16","AWS","Portfolio",195,36,1492
1980,"Associate","Female","Kŭlob","Khatlon Province","Tajikistan","2024-12-05","AWS","E-commerce",189,84,788
1980,"Associate","Female","Kŭlob","Khatlon Province","Tajikistan","2023-12-24","AWS","Blog",65,74,1612
1980,"Associate","Female","Kŭlob","Khatlon Province","Tajikistan","2023-10-11","GCP","E-commerce",185,53,1689
1961,"Director","Female","Tutuala","Lautém Municipality","East Timor","2023-10-10","GCP","Personal",31,161,1051
1961,"Director","Female","Tutuala","Lautém Municipality","East Timor","2024-08-16","GCP","Blog",169,151,427
1961,"Director","Female","Tutuala","Lautém Municipality","East Timor","2025-01-29","GCP","Business",63,65,1065
1976,"Consultant","Female","Al Azraq ash Shamālī","Zarqa Governorate","Jordan","2023-05-04","GCP","E-commerce",62,120,476
1998,"Designer","Male","Boldumsaz","Daşoguz Region","Turkmenistan","2025-03-22","AWS","Blog",175,137,271
1998,"Designer","Male","Boldumsaz","Daşoguz Region","Turkmenistan","2024-11-26","Azure","Portfolio",21,125,461
1978,"Designer","Male","Voinjama","Lofa County","Liberia","2025-02-13","Azure","Portfolio",138,58,1912
1978,"Designer","Male","Voinjama","Lofa County","Liberia","2023-08-01","AWS","Portfolio",36,151,1944
1983,"Assistant","Male","Petrovac na Moru","Budva Municipality","Montenegro","2024-10-05","AWS","Personal",39,172,1826
1983,"Assistant","Male","Petrovac na Moru","Budva Municipality","Montenegro","2024-02-02","GCP","E-commerce",45,160,1412
1983,"Assistant","Male","Petrovac na Moru","Budva Municipality","Montenegro","2023-05-03","GCP","E-commerce",145,90,1077
1972,"Executive","Female","Dąbrówno","Warmian-Masurian Voivodeship","Poland","2024-06-07","Azure","E-commerce",108,80,1323
1972,"Executive","Female","Dąbrówno","Warmian-Masurian Voivodeship","Poland","2024-08-17","GCP","Portfolio",83,25,1494
1972,"Executive","Female","Dąbrówno","Warmian-Masurian Voivodeship","Poland","2024-10-04","AWS","Portfolio",62,69,978
1970,"Liaison","Female","Stans","Nidwalden","Switzerland","2023-09-07","GCP","Blog",129,134,1208
1982,"Orchestrator","Female","Prebold","Prebold Municipality","Slovenia","2024-12-20","Azure","Business",174,12,1910
1982,"Orchestrator","Female","Prebold","Prebold Municipality","Slovenia","2023-10-21","AWS","Portfolio",153,157,1900
1982,"Orchestrator","Female","Prebold","Prebold Municipality","Slovenia","2024-09-23","AWS","Business",77,7,1350
1989,"Engineer","Male","Djibouti","Djibouti","Djibouti","2023-09-03","Azure","Personal",109,173,1530
1989,"Engineer","Male","Djibouti","Djibouti","Djibouti","2024-01-04","GCP","E-commerce",149,114,847
1989,"Engineer","Male","Djibouti","Djibouti","Djibouti","2024-12-17","AWS","E-commerce",113,123,787
1989,"Engineer","Male","Djibouti","Djibouti","Djibouti","2024-12-29","GCP","Blog",67,95,1805
1996,"Analyst","Male","Wairoa","Hawke's Bay Region","New Zealand","2024-08-17","Azure","Personal",129,134,1208
1965,"Technician","Male","Stratford","Ontario","Canada","2024-10-14","AWS","Personal",88,73,1657
1965,"Technician","Male","Stratford","Ontario","Canada","2024-07-27","Azure","Blog",153,157,1900
1965,"Technician","Male","Stratford","Ontario","Canada","2023-12-25","Azure","Personal",138,113,500
1965,"Technician","Male","Stratford","Ontario","Canada","2025-02-09","Azure","Personal",70,64,1210
1965,"Consultant","Female","Ashgabat","Ashgabat","Turkmenistan","2024-03-03","Azure","Portfolio",89,96,1822
1965,"Consultant","Female","Ashgabat","Ashgabat","Turkmenistan","2024-01-08","GCP","Personal",83,87,402
1965,"Consultant","Female","Ashgabat","Ashgabat","Turkmenistan","2023-06-22","Azure","Business",116,13,795
1965,"Representative","Male","Tsidjé","Grande Comore","Comoros","2023-08-10","Azure","E-commerce",39,172,1826
1965,"Representative","Male","Tsidjé","Grande Comore","Comoros","2024-06-30","AWS","Business",171,160,657
1965,"Representative","Male","Tsidjé","Grande Comore","Comoros","2024-02-10","GCP","E-commerce",108,80,1323
1971,"Supervisor","Female","Bezirk Oberklettgau","Schaffhausen","Switzerland","2024-11-18","AWS","Business",39,172,1826
1971,"Supervisor","Female","Bezirk Oberklettgau","Schaffhausen","Switzerland","2023-12-22","GCP","Blog",134,9,296
1998,"Representative","Male","Gasa","Gasa District","Bhutan","2024-02-26","GCP","Personal",149,113,1625
1998,"Representative","Male","Gasa","Gasa District","Bhutan","2025-01-31","GCP","Personal",149,113,1625
1998,"Representative","Male","Gasa","Gasa District","Bhutan","2025-01-27","Azure","Blog",197,49,1056
1973,"Planner","Male","Municipio de Puerto Barrios","Izabal Department","Guatemala","2025-01-01","Azure","Personal",193,24,1025
1973,"Planner","Male","Municipio de Puerto Barrios","Izabal Department","Guatemala","2025-01-04","Azure","Personal",149,140,329
1973,"Planner","Male","Municipio de Puerto Barrios","Izabal Department","Guatemala","2024-10-27","GCP","E-commerce",134,15,1812
1961,"Liaison","Male","Payshanba","Samarqand Region","Uzbekistan","2024-11-17","AWS","Portfolio",191,99,1241
1961,"Liaison","Male","Payshanba","Samarqand Region","Uzbekistan","2023-05-07","AWS","Business",192,101,1454
1987,"Developer","Male","Glovelier","Jura","Switzerland","2024-07-16","GCP","Business",58,176,1274
1960,"Director","Male","Faetano","Faetano","San Marino","2023-04-17","Azure","E-commerce",16,153,1924
1960,"Director","Male","Faetano","Faetano","San Marino","2023-10-23","AWS","Portfolio",42,87,1809
1960,"Director","Male","Faetano","Faetano","San Marino","2024-07-19","AWS","Personal",80,22,137
1982,"Representative","Male","Waitangi","Chatham Islands","New Zealand","2024-12-25","Azure","Personal",91,105,113
1979,"Planner","Male","Zavodski Rayon","Minsk","Belarus","2023-12-24","Azure","Blog",137,102,299
1975,"Engineer","Male","Lupane District","Matabeleland North Province","Zimbabwe","2025-01-01","AWS","Business",105,122,1614
1975,"Engineer","Male","Lupane District","Matabeleland North Province","Zimbabwe","2023-06-21","Azure","Portfolio",189,70,1730
1975,"Engineer","Male","Lupane District","Matabeleland North Province","Zimbabwe","2025-03-14","AWS","Business",189,84,788
1975,"Engineer","Male","Lupane District","Matabeleland North Province","Zimbabwe","2023-09-25","Azure","Portfolio",28,169,1401
1970,"Executive","Male","Teresin","Masovian Voivodeship","Poland","2024-05-17","AWS","Blog",102,101,1325
1970,"Executive","Male","Teresin","Masovian Voivodeship","Poland","2024-03-04","Azure","Personal",157,104,1016
1965,"Coordinator","Male","Unanu Municipality","Chuuk State","Micronesia","2024-08-10","Azure","Portfolio",189,70,1730
1965,"Coordinator","Male","Unanu Municipality","Chuuk State","Micronesia","2023-09-20","Azure","Personal",170,167,409
1965,"Coordinator","Male","Unanu Municipality","Chuuk State","Micronesia","2024-03-26","Azure","Portfolio",134,9,296
1972,"Facilitator","Male","Garoowe","Nugal","Somalia","2025-02-23","AWS","Personal",183,104,1653
1972,"Facilitator","Male","Garoowe","Nugal","Somalia","2024-09-12","AWS","Business",32,118,1226
1972,"Facilitator","Male","Garoowe","Nugal","Somalia","2024-01-01","GCP","E-commerce",117,15,1368
1972,"Facilitator","Male","Garoowe","Nugal","Somalia","2023-11-11","AWS","Portfolio",139,72,1014
1994,"Strategist","Female","Lüderitz","Karas Region","Namibia","2024-07-16","GCP","Personal",162,111,759
1983,"Representative","Female","Akrahreppur","Northwestern Region","Iceland","2023-06-10","Azure","Blog",146,106,1771
1983,"Representative","Female","Akrahreppur","Northwestern Region","Iceland","2024-11-25","Azure","Blog",174,86,282
1981,"Strategist","Male","Quinhámel","Biombo Region","Guinea-Bissau","2023-07-25","GCP","Blog",102,137,1813
1968,"Developer","Female","Funafuti","Funafuti","Tuvalu","2024-08-31","Azure","Blog",178,155,188
1985,"Associate","Male","Wangjing","Manipur","India","2024-06-10","GCP","Blog",42,112,773
1986,"Liaison","Female","Bokaa","Kgatleng District","Botswana","2024-04-13","Azure","Personal",27,135,259
1961,"Coordinator","Male","Masfout","Ajman Emirate","United Arab Emirates","2024-11-01","AWS","Portfolio",153,17,1999
1961,"Coordinator","Male","Masfout","Ajman Emirate","United Arab Emirates","2024-04-22","GCP","Business",138,133,1882
1961,"Coordinator","Male","Masfout","Ajman Emirate","United Arab Emirates","2024-08-29","Azure","Portfolio",56,119,365
1961,"Coordinator","Male","Masfout","Ajman Emirate","United Arab Emirates","2023-07-28","AWS","Business",178,18,1734
1961,"Technician","Female","Brownsweg","Brokopondo District","Suriname","2025-03-04","Azure","E-commerce",63,65,1065
1961,"Technician","Female","Brownsweg","Brokopondo District","Suriname","2024-12-08","AWS","Portfolio",109,173,1530
1966,"Agent","Female","Effium","Ebonyi","Nigeria","2025-03-15","Azure","Business",108,80,1323
1994,"Coordinator","Female","El Trébol","Santa Fe","Argentina","2024-04-28","AWS","Personal",178,18,1734
1990,"Supervisor","Female","Srŏk Ŏdŏngk","Kampong Speu","Cambodia","2023-10-15","GCP","Portfolio",25,64,1692
1990,"Supervisor","Female","Srŏk Ŏdŏngk","Kampong Speu","Cambodia","2023-10-27","Azure","Business",134,9,296
1990,"Supervisor","Female","Srŏk Ŏdŏngk","Kampong Speu","Cambodia","2024-12-28","AWS","Blog",200,93,1391
1990,"Supervisor","Female","Srŏk Ŏdŏngk","Kampong Speu","Cambodia","2023-10-07","GCP","Blog",127,89,1386
1975,"Officer","Male","Nsoko","Lubombo District","Swaziland","2025-01-06","Azure","Personal",62,69,978
1990,"Director","Male","Southland District","Southland Region","New Zealand","2025-03-30","GCP","Portfolio",138,133,1882
1990,"Director","Male","Southland District","Southland Region","New Zealand","2023-08-30","Azure","Personal",83,87,402
1990,"Director","Male","Southland District","Southland Region","New Zealand","2024-11-20","AWS","Blog",50,42,978
1984,"Supervisor","Male","Montecarlo","Misiones","Argentina","2024-08-16","AWS","Blog",72,47,1472
1984,"Supervisor","Male","Montecarlo","Misiones","Argentina","2024-07-09","Azure","E-commerce",69,54,737
1984,"Supervisor","Male","Montecarlo","Misiones","Argentina","2024-11-30","AWS","Portfolio",185,110,796
1992,"Director","Male","Sola","Torba","Vanuatu","2024-07-28","GCP","Blog",87,13,779
1992,"Director","Male","Sola","Torba","Vanuatu","2024-01-29","Azure","Personal",39,172,1826
1992,"Director","Male","Sola","Torba","Vanuatu","2023-10-17","Azure","Personal",169,20,1786
1992,"Director","Male","Sola","Torba","Vanuatu","2024-10-07","Azure","E-commerce",149,114,847
1961,"Executive","Male","Liberta","Saint Paul Parish","Antigua And Barbuda","2025-01-25","AWS","Business",108,80,1323
1961,"Executive","Male","Liberta","Saint Paul Parish","Antigua And Barbuda","2024-08-06","AWS","Portfolio",141,133,564
1961,"Executive","Male","Liberta","Saint Paul Parish","Antigua And Barbuda","2024-05-21","AWS","Portfolio",160,44,1066
1967,"Consultant","Female","Singapore","Central Singapore Community Development Council","Singapore","2023-12-28","AWS","Blog",164,42,836
1967,"Consultant","Female","Singapore","Central Singapore Community Development Council","Singapore","2024-06-25","GCP","Blog",185,53,1689
1974,"Officer","Male","Minsk","Minsk","Belarus","2023-09-27","Azure","Personal",21,64,719
2004,"Agent","Female","Bahçe İlçesi","Osmaniye","Turkey","2024-03-01","AWS","Blog",165,151,776
2004,"Agent","Female","Bahçe İlçesi","Osmaniye","Turkey","2024-05-21","AWS","Portfolio",89,10,283
1981,"Assistant","Female","Ar Riqqah","Al Ahmadi Governorate","Kuwait","2024-10-05","AWS","Portfolio",192,140,1119
1969,"Assistant","Female","Mokil Municipality","Pohnpei State","Micronesia","2024-01-09","Azure","Business",62,120,476
1969,"Assistant","Female","Mokil Municipality","Pohnpei State","Micronesia","2023-10-22","GCP","Blog",47,10,777
1969,"Assistant","Female","Mokil Municipality","Pohnpei State","Micronesia","2025-01-13","GCP","Blog",168,144,1981
1969,"Assistant","Female","Mokil Municipality","Pohnpei State","Micronesia","2023-08-11","AWS","Portfolio",46,163,930
1993,"Facilitator","Male","Barrio Guadalupe","Chiriquí Province","Panama","2024-08-09","AWS","Business",140,77,1035
1993,"Facilitator","Male","Barrio Guadalupe","Chiriquí Province","Panama","2023-06-07","AWS","Portfolio",173,18,141
1993,"Facilitator","Male","Barrio Guadalupe","Chiriquí Province","Panama","2025-03-09","GCP","Business",22,71,1430
1993,"Facilitator","Male","Barrio Guadalupe","Chiriquí Province","Panama","2023-08-19","AWS","Personal",189,97,283
1971,"Assistant","Male","Jizzax","Jizzakh Region","Uzbekistan","2024-11-14","AWS","Portfolio",193,24,1025
1971,"Assistant","Male","Jizzax","Jizzakh Region","Uzbekistan","2023-12-28","AWS","Personal",137,102,299
